l2filename,cpomfilename,atl07filename,atl10filename,start _CS2,end_CS2,start_IS2,end_IS2,strong_beam
CS_LTA__SIR1SAR_FR_20201015T043431_20201015T044309_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20201015T043025.elev,ATL07-01_20201015012229_03190901_006_01.h5,ATL10-01_20201015012229_03190901_006_01.h5,"2020, 10, 15, 04, 38, 36","2020, 10, 15, 04, 43, 08","2020, 10, 15, 01, 46, 15","2020, 10, 15, 01, 50, 33",L
CS_LTA__SIR1SAR_FR_20210402T024440_20210402T025138_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210402T022221.elev,ATL07-01_20210401235002_01251101_006_02.h5,ATL10-01_20210401235002_01251101_006_02.h5,"2021, 04, 02, 02, 45, 16","2021, 04, 02, 02, 51, 56","2021, 04, 02, 00, 12, 09","2021, 04, 02, 00, 18, 29",R
CS_LTA__SIR1SAR_FR_20210403T100237_20210403T101307_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210403T092831.elev,ATL07-01_20210403071550_01451101_006_02.h5,ATL10-01_20210403071550_01451101_006_02.h5,"2021, 04, 03, 10, 06, 52","2021, 04, 03, 10, 13, 43","2021, 04, 03, 07, 34, 07","2021, 04, 03, 07, 40, 37",R
CS_LTA__SIR1SAR_FR_20210404T173201_20210404T173925_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210404T173116.elev,ATL07-01_20210404144138_01651101_006_02.h5,ATL10-01_20210404144138_01651101_006_02.h5,"2021, 04, 04, 17, 33, 50","2021, 04, 04, 17, 40, 01","2021, 04, 04, 15, 01, 10","2021, 04, 04, 15, 07, 02",R
CS_LTA__SIR1SAR_FR_20210407T082346_20210407T083117_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210407T074556.elev,ATL07-01_20210407053313_02051101_006_02.h5,ATL10-01_20210407053313_02051101_006_02.h5,"2021, 04, 07, 08, 24, 22","2021, 04, 07, 08, 31, 48","2021, 04, 07, 05, 52, 01","2021, 04, 07, 05, 59, 05",R
CS_LTA__SIR1SAR_FR_20210411T064100_20210411T064923_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210411T060210.elev,ATL07-01_20210411035036_02651101_006_02.h5,ATL10-01_20210411035036_02651101_006_02.h5,"2021, 04, 11, 06, 41, 36","2021, 04, 11, 06, 49, 20","2021, 04, 11, 04, 09, 40","2021, 04, 11, 04, 17, 01",R
CS_LTA__SIR1SAR_FR_20210413T213403_20210413T214229_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210413T211947.elev,ATL07-01_20210413184211_03051101_006_02.h5,ATL10-01_20210413184211_03051101_006_02.h5,"2021, 04, 13, 21, 34, 52","2021, 04, 13, 21, 43, 01","2021, 04, 13, 19, 03, 08","2021, 04, 13, 19, 10, 51",R
CS_LTA__SIR1SAR_FR_20210415T045957_20210415T050507_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210415T045606.elev,ATL07-01_20210415020759_03251101_006_02.h5,ATL10-01_20210415020759_03251101_006_02.h5,"2021, 04, 15, 05, 00, 33","2021, 04, 15, 05, 05, 39","2021, 04, 15, 02, 28, 56","2021, 04, 15, 02, 33, 47",R
CS_LTA__SIR1SAR_FR_20210416T122442_20210416T122906_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210416T114619.elev,ATL07-01_20210416093346_03451101_006_02.h5,ATL10-01_20210416093346_03451101_006_02.h5,"2021, 04, 16, 12, 25, 19","2021, 04, 16, 12, 29, 42","2021, 04, 16, 09, 53, 53","2021, 04, 16, 09, 58, 05",R
CS_LTA__SIR1SAR_FR_20210417T195130_20210417T195934_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210417T193453.elev,ATL07-01_20210417165935_03651101_006_02.h5,ATL10-01_20210417165935_03651101_006_02.h5,"2021, 04, 17, 19, 52, 07","2021, 04, 17, 19, 57, 39","2021, 04, 17, 17, 20, 48","2021, 04, 17, 17, 26, 04",R
CS_LTA__SIR1SAR_FR_20210420T103907_20210420T104621_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210420T100224.elev,ATL07-01_20210420075110_04051101_006_02.h5,ATL10-01_20210420075110_04051101_006_02.h5,"2021, 04, 20, 10, 40, 19","2021, 04, 20, 10, 46, 57","2021, 04, 20, 08, 09, 27","2021, 04, 20, 08, 15, 46",R
CS_LTA__SIR1SAR_FR_20210421T180837_20210421T181357_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210421T180423.elev,ATL07-01_20210421151658_04251101_006_02.h5,ATL10-01_20210421151658_04251101_006_02.h5,"2021, 04, 21, 18, 09, 14","2021, 04, 21, 18, 14, 33","2021, 04, 21, 15, 38, 21","2021, 04, 21, 15, 43, 24",R
CS_LTA__SIR1SAR_FR_20210423T013504_20210423T014226_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210423T011243.elev,ATL07-01_20210422224245_04451101_006_02.h5,ATL10-01_20210422224245_04451101_006_02.h5,"2021, 04, 23, 01, 35, 41","2021, 04, 23, 01, 42, 22","2021, 04, 22, 23, 04, 53","2021, 04, 22, 23, 11, 15",R
CS_LTA__SIR1SAR_FR_20210424T085541_20210424T090331_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210424T081924.elev,ATL07-01_20210424060832_04651101_006_02.h5,ATL10-01_20210424060832_04651101_006_02.h5,"2021, 04, 24, 08, 58, 34","2021, 04, 24, 09, 04, 07","2021, 04, 24, 06, 28, 05","2021, 04, 24, 06, 33, 21",R
CS_LTA__SIR1SAR_FR_20210425T162240_20210425T162945_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210425T162211.elev,ATL07-01_20210425133419_04851101_006_02.h5,ATL10-01_20210425133419_04851101_006_02.h5,"2021, 04, 25, 16, 23, 35","2021, 04, 25, 16, 30, 21","2021, 04, 25, 13, 53, 16","2021, 04, 25, 13, 59, 42",R
